index_quartiere,Quartieri
1,Flaminio
2,Parioli
3,Pinciano
4,Salario
5,Nomentano
6,Tiburtino
7,Prenestino-Labicano
8,Tuscolano
9,Appio-Latino
10,Ostiense
11,Portuense
12,Gianicolense
13,Aurelio
14,Trionfale
15,Della Vittoria
16,Monte Sacro
17,Trieste
18,Tor di Quinto
19,Prenestino-Centocelle
20,Ardeatino
21,Pietralata
22,Collatino
23,Alessandrino
24,Don Bosco
25,Appio Claudio
26,Appio-Pignatelli
27,Primavalle
28,"Sacro Alto, Monte"
29,Ponte Mammolo
30,"Basilio, San"
31,Giuliano-Dalmata
32,Europa
33,Ostia Ponente
34,Ostia Levante
35,Lido di Castel Fusano